route_id,direction_label,stop_code,stop_name,stop_sequence
1,North,tfgr,TF Green Airport,1
1,North,shwa,Shaw's (Warwick) - Warwick Ave,2
1,North,shal,Shaw's (Warwick) - Front Door,3
1,North,bdcl,Broad Street Terminus,4
1,North,rihe,RI Hospital (Eddy St Entrance),5
1,North,kepl,Kennedy Plaza (Providence),6
1,North,tuth,Tunnel & Thayer,7
1,North,hool,Hope & Olney,8
1,North,horo,Hope & Rochambeau,9
1,North,patc,Pawtucket-Central Falls Transit Center,10
1,North,bebr,Benefit & Broadway,11
1,North,soas,South Attleboro (Bristol Place),12
1,South,soas,South Attleboro (Bristol Place),1
1,South,bebr,Benefit & Broadway,2
1,South,patc,Pawtucket-Central Falls Transit Center,3
1,South,horo,Hope & Rochambeau,4
1,South,hool,Hope & Olney,5
1,South,tuth,Tunnel & Thayer,6
1,South,kepl,Kennedy Plaza (Providence),7
1,South,rihe,RI Hospital (Eddy St Entrance),8
1,South,bdcl,Broad Street Terminus,9
1,South,shal,Shaw's (Warwick) - Front Door,10
1,South,shwa,Shaw's (Warwick) - Warwick Ave,11
1,South,tfgr,TF Green Airport,12
3,Inbound,oasu,Oakland Beach & Suburban Pkwy,1
3,Inbound,wasa,Meadowbrook (Warwick & Sandy Lane),2
3,Inbound,hofo,Warwick & West Shore,3
3,Inbound,waps,Warwick & Post,4
3,Inbound,nobr,Norwood & Broad,5
3,Inbound,riho,Hospital District (Eddy & Borden),6
3,Inbound,kepl,Kennedy Plaza (Providence),7
3,Inbound,psta,Providence Station,8
3,Outbound,psta,Providence Station,1
3,Outbound,kepl,Kennedy Plaza (Providence),2
3,Outbound,riho,Hospital District (Eddy & Borden),3
3,Outbound,nobr,Norwood & Broad,4
3,Outbound,waps,Warwick & Post,5
3,Outbound,hofo,Warwick & West Shore,6
3,Outbound,wasa,Meadowbrook (Warwick & Sandy Lane),7
3,Outbound,oasu,Oakland Beach & Suburban Pkwy,8
4,Inbound,waba,Warwick Neck & Barton,1
4,Inbound,coni,Conimicut (West Shore & Beach),2
4,Inbound,hofo,Warwick & West Shore,3
4,Inbound,pabr,Pawtuxet Bridge (Narragansett & Post),4
4,Inbound,nobr,Norwood & Broad,5
4,Inbound,riho,Hospital District (Eddy & Borden),6
4,Inbound,kepl,Kennedy Plaza (Providence),7
4,Inbound,psta,Providence Station,8
4,Outbound,psta,Providence Station,1
4,Outbound,kepl,Kennedy Plaza (Providence),2
4,Outbound,riho,Hospital District (Eddy & Borden),3
4,Outbound,nobr,Norwood & Broad,4
4,Outbound,pabr,Pawtuxet Bridge (Narragansett & Post),5
4,Outbound,hofo,Warwick & West Shore,6
4,Outbound,coni,Conimicut (West Shore & Beach),7
4,Outbound,waba,Warwick Neck & Barton,8
6,Inbound,rwzo,Roger Williams Park Zoo,1
6,Inbound,coho,Colony House,2
6,Inbound,prth,Prairie & Thurbers,3
6,Inbound,ccrp,CCRI Providence,4
6,Inbound,popr,Point & Prairie,5
6,Inbound,kepl,Kennedy Plaza (Providence),6
6,Outbound,kepl,Kennedy Plaza (Providence),1
6,Outbound,popr,Point & Prairie,2
6,Outbound,ccrp,CCRI Providence,3
6,Outbound,prth,Prairie & Thurbers,4
6,Outbound,coho,Colony House,5
6,Outbound,rwzo,Roger Williams Park Zoo,6
7,Inbound,cocr,Cargill Compass Circle,1
7,Inbound,gard,Gate Rd at Kohl's,2
7,Inbound,nora,Norad Inc.,3
7,Inbound,jlqt,Job Lot/Taylor Farms,4
7,Inbound,domi,Keifer Park,5
7,Inbound,elbt,Electric Boat/North,6
7,Inbound,tory,Toray (Quonset),7
7,Inbound,exte,Exchange Terrace (Stop X),8
7,Inbound,cspr,Clinton St. P-n-R Lot (Woonsocket),9
7,Outbound,cspr,Clinton St. P-n-R Lot (Woonsocket),1
7,Outbound,exte,Exchange Terrace (Stop X),2
7,Outbound,elbt,Electric Boat/North,3
7,Outbound,tory,Toray (Quonset),4
7,Outbound,jlqt,Job Lot/Taylor Farms,5
7,Outbound,nora,Norad Inc.,6
7,Outbound,gard,Gate Rd at Kohl's,7
7,Outbound,cocr,Cargill Compass Circle,8
9,Inbound,pasc,Sayles Avenue Bus Shelter,1
9,Inbound,harr,Chapel & Main,2
9,Inbound,mapl,Mapleville (Central & Old Victory),3
9,Inbound,chep,RI-44 & Douglas Hook,4
9,Inbound,grrt,Greenville (RI-44 & RI-116),5
9,Inbound,stss,Stop & Shop (Smithfield),6
9,Inbound,copr,Park & Ride (Commerce St - Smithfield),7
9,Inbound,cbjo,Citizens Bank - Johnston,8
9,Inbound,conv,Rhode Island Convention Center,9
9,Inbound,weem,Westminster & Empire,10
9,Inbound,weed,Weybosset & Eddy,11
9,Inbound,tuhe,Turk's Head,12
9,Inbound,exte,Exchange Terrace (Stop X),13
9,Outbound,conv,Rhode Island Convention Center,1
9,Outbound,weem,Westminster & Empire,2
9,Outbound,weed,Weybosset & Eddy,3
9,Outbound,tuhe,Turk's Head,4
9,Outbound,exte,Exchange Terrace (Stop X),5
9,Outbound,cbjo,Citizens Bank - Johnston,6
9,Outbound,stss,Stop & Shop (Smithfield),7
9,Outbound,copr,Park & Ride (Commerce St - Smithfield),8
9,Outbound,grrt,Greenville (RI-44 & RI-116),9
9,Outbound,chep,RI-44 & Douglas Hook,10
9,Outbound,mapl,Mapleville (Central & Old Victory),11
9,Outbound,harr,Chapel & Main,12
9,Outbound,pasc,Sayles Avenue Bus Shelter,13
10,Inbound,fost,Foster (Foster Center Baptist Church),1
10,Inbound,chop,Chopmist Hill Fire Station,2
10,Inbound,rtro,Danielson Pike & Rockland,3
